Title,Abstract
"Characterization of a Root-Specific Arabidopsis Terpene Synthase Responsible for the Formation of the Volatile Monoterpene 1,8-Cineole","Arabidopsis is emerging as a model system to study the biochemistry, biological functions, and evolution of plant terpene secondary metabolism. It was previously shown that the Arabidopsis genome contains over 30 genes potentially encoding terpene synthases (TPSs). Here we report the characterization of a monoterpene synthase encoded by two identical, closely linked genes, At3g25820 and At3g25830. Transcripts of these genes were detected almost exclusively in roots. An At3g25820/At3g25830 cDNA was expressed in Escherichia coli, and the protein thus produced was shown to catalyze the formation of 10 volatile monoterpenes from geranyl diphosphate, with 1,8-cineole predominating. This protein was therefore designated AtTPS-Cin. The purified recombinant AtTPS-Cin displayed similar biochemical properties to other known monoterpene synthases, except for a relatively low K  m value for geranyl diphosphate of 0.2 µ  M. At3g25820/At3g25830 promoter activity, measured with a ß-glucuronidase (GUS) reporter gene, was primarily found in the epidermis, cortex, and stele of mature primary and lateral roots, but not in the root meristem or the elongation zone. Although the products of AtTPS-Cin were not detected by direct extraction of plant tissue, the recent report of 1,8-cineole as an Arabidopsis root volatile (Steeghs M, Bais HP, de Gouw J, Goldan P, Kuster W, Northway M, Fall R, Vivanco JM [2004] Plant Physiol 135: 47–58) suggests that the enzyme products may be released into the rhizosphere rather than accumulated. Among Arabidopsis TPSs, AtTPS-Cin is most similar to the TPS encoded by At3g25810, a closely linked gene previously shown to be exclusively expressed in flowers. At3g25810 TPS catalyzes the formation of a set of monoterpenes that is very similar to those produced by AtTPS-Cin, but its major products are myrcene and (E)-ß-ocimene, and it does not form 1,8-cineole. These data demonstrate that divergence of organ expression pattern and product specificity are ongoing processes within the Arabidopsis TPS family."
Characterization of Biosynthetic Pathways for the Production of the Volatile Homoterpenes DMNT and TMTT in Zea mays  ,"Plant volatiles not only have multiple defense functions against herbivores, fungi, and bacteria, but also have been implicated in signaling within the plant and toward other organisms. Elucidating the function of individual plant volatiles will require more knowledge of their biosynthesis and regulation in response to external stimuli. By exploiting the variation of herbivore-induced volatiles among 26 maize (Zea mays) inbred lines, we conducted a nested association mapping and genome-wide association study (GWAS) to identify a set of quantitative trait loci (QTLs) for investigating the pathways of volatile terpene production. The most significant identified QTL affects the emission of (E)-nerolidol, linalool, and the two homoterpenes (E)-3,8-dimethyl-1,4,7-nonatriene (DMNT) and (E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene (TMTT). GWAS associated a single nucleotide polymorphism in the promoter of the gene encoding the terpene synthase TPS2 with this QTL. Biochemical characterization of TPS2 verified that this plastid-localized enzyme forms linalool, (E)-nerolidol, and (E,E)-geranyllinalool. The subsequent conversion of (E)-nerolidol into DMNT maps to a P450 monooxygenase, CYP92C5, which is capable of converting nerolidol into DMNT by oxidative degradation. A QTL influencing TMTT accumulation corresponds to a similar monooxygenase, CYP92C6, which is specific for the conversion of (E,E)-geranyllinalool to TMTT. The DMNT biosynthetic pathway and both monooxygenases are distinct from those previously characterized for DMNT and TMTT synthesis in Arabidopsis thaliana, suggesting independent evolution of these enzymatic activities."
"Characterization of d-Guaiene Synthases from Cultured Cells of Aquilaria, Responsible for the Formation of the Sesquiterpenes in Agarwood","The resinous portions of Aquilaria plants, called agarwood, have been used as medicines and incenses. Agarwood contains a great variety of sesquiterpenes, and a study using cultured cells of Aquilaria showed the production of sesquiterpenes (a-guaiene, a-humulene, and d-guaiene) to be induced by treatment with methyl jasmonate (MJ). In this study, the accumulation and production of sesquiterpenes were quantified. The amounts accumulated and produced reached a maximum at 12 h, and the most abundant product was a-humulene at 6 h and d-guaiene after 12 h. However, a headspace analysis of the cells revealed that a-humulene is likely to be volatilized; so overall, the most abundant sesquiterpene in the cells was d-guaiene. A cDNA library from RNA isolated from MJ-treated cells was screened using PCR methodologies to isolate five clones with very similar amino acid sequences. These clones were expressed in Escherichia coli, and enzymatic reactions using farnesyl pyrophosphate revealed that three of the clones yielded the same compounds as extracted from MJ-treated cells, the major product being d-guaiene. These genes and their encoded enzymes are the first sesquiterpene synthases yielding guaiane-type sesquiterpenes as their major products to be reported. Expression of a fourth terpene synthase gene in bacteria resulted in the accumulation of the protein in insoluble forms. Site-directed mutagenesis of the inactive clone and three-dimensional homology modeling suggested that the structure of the N-terminal domain was important in facilitating proper folding of the protein to form a catalytically active structure."
Chemical and Molecular Ecology of Herbivore-Induced Plant Volatiles: Proximate Factors and Their Ultimate Functions,"In response to herbivory, plants emit specific blends of herbivore-induced plant volatiles (HIPVs). HIPVs mediate sizable arrays of interactions between plants and arthropods, microorganisms, undamaged neighboring plants or undamaged sites within the plant in various ecosystems. HIPV profiles vary according to the plant and herbivore species, and the developmental stages and conditions of the live plants and herbivores. To understand the regulatory mechanisms underling HIPV biosynthesis, the following issues are reviewed here: (i) herbivore-induced formation of plant volatile terpenoids and green leaf volatiles; (ii) initial activation of plant responses by feeding herbivores; and (iii) the downstream network of the signal transduction. To understand the ecological significance of HIPVs, we also review case studies of insect–plant and inter-/intraplant interactions mediated by HIPVs that have been documented in the field and laboratory in recent years."
CitAP2.10 activation of the terpene synthase CsTPS1 is associated with the synthesis of (+)-valencene in ‘Newhall’ orange,"Aroma is a vital characteristic that determines the quality and commercial value of citrus fruits, and characteristic volatiles have been analyzed in different citrus species. In sweet orange, Citrus sinensis, the sesquiterpene (+)-valencene is a key volatile compound in the fruit peel. Valencene synthesis is catalyzed by the terpene synthase CsTPS1, but the transcriptional mechanisms controlling its gene expression are unknown. Here, the AP2/ERF (APETALA2/ethylene response factor) transcription factor, CitAP2.10, is characterized as a regulator of (+)-valencene synthesis. The expression pattern of CitAP2.10 was positively correlated with (+)-valencene content and CsTPS1 expression. Dual-luciferase assays indicated that CitAP2.10 could trans-activate the CsTPS1 promoter. Ethylene enhanced expression of CitAP2.10 and this effect was abolished by the ethylene antagonist 1-methylcyclopropene. The role and function of CitAP2.10 in (+)-valencene biosynthesis were confirmed using the Arabidopsis homolog (AtWRI1), which also transiently activated the CsTPS1 promoter. Furthermore, transient over-expression of CitAP2.10 triggered (+)-valencene biosynthesis in sweet orange fruit. These results indicate that CitAP2.10 regulates (+)-valencene synthesis via induction of CsTPS1 mRNA accumulation."
Determination of Residues Responsible for Substrate and Product Specificity of Solanum habrochaites Short-Chain cis-Prenyltransferases    ,"Isoprenoids are diverse compounds that have their biosynthetic origin in the initial condensation of isopentenyl diphosphate and dimethylallyl diphosphate to form C10 prenyl diphosphates that can be elongated by the addition of subsequent isopentenyl diphosphate units. These reactions are catalyzed by either cis-prenyltransferases (CPTs) or trans-prenyltransferases. The synthesis of volatile terpenes in plants typically proceeds through either geranyl diphosphate (C10) or trans-farnesyl diphosphate (C15), to yield monoterpenes and sesquiterpenes, respectively. However, terpene biosynthesis in glandular trichomes of tomato (Solanum lycopersicum) and related wild relatives also occurs via the cis-substrates neryl diphosphate (NPP) and 2  Z,6  Z-farnesyl diphosphate (Z,Z-FPP). NPP and Z,Z-FPP are synthesized by neryl diphosphate synthase1 (NDPS1) and Z,Z-farnesyl diphosphate synthase (zFPS), which are encoded by the orthologous CPT1 locus in tomato and Solanum habrochaites, respectively. In this study, comparative sequence analysis of NDPS1 and zFPS enzymes from S. habrochaites accessions that synthesize either monoterpenes or sesquiterpenes was performed to identify amino acid residues that correlate with the ability to synthesize NPP or Z,Z-FPP. Subsequent structural modeling, coupled with site-directed mutagenesis, highlighted the importance of four amino acids located within conserved domain II of CPT enzymes that form part of the second a-helix, for determining substrate and product specificity of these enzymes. In particular, the relative positioning of aromatic amino acid residues at positions 100 and 107 determines the ability of these enzymes to synthesize NPP or Z,Z-FPP. This study provides insight into the biochemical evolution of terpene biosynthesis in the glandular trichomes of Solanum species."
Distinct metabolic pathways drive monoterpenoid biosynthesis in a natural population of Pelargonium graveolens,"Pelargonium graveolens is a wild predecessor to rose-scented geranium hybrids prized for their essential oils used as fragrances and flavorings. However, little is known about their biosynthesis. Here we present metabolic evidence that at least two distinct monoterpene biosynthetic pathways contribute to their volatile profiles, namely, cyclic p-menthanes such as (-)-isomenthone and acyclic monoterpene alcohols such as geraniol and (-)-citronellol and their derivatives (referred to here as citronelloid monoterpenes). We established their common origin via the 2C-methyl-d-erythritol-4-phosphate pathway but found no indication these pathways share common intermediates beyond geranyl diphosphate. Untargeted volatile profiling of 22 seed-grown P. graveolens lines demonstrated distinct chemotypes that preferentially accumulate (-)-isomenthone, geraniol, or (-)-citronellol along with approximately 85 minor volatile products. Whole plant 13CO2 isotopic labeling performed under physiological conditions permitted us to measure the in vivo rates of monoterpenoid accumulation in these lines and quantify differences in metabolic modes between chemotypes. We further determined that p-menthane monoterpenoids in Pelargonium are likely synthesized from (+)-limonene via (+)-piperitone rather than (+)-pulegone. Exploitation of this natural population enabled a detailed dissection of the relative rates of competing p-menthane and citronelloid pathways in this species, providing real time rates of monoterpene accumulation in glandular trichomes."
Ectopic Terpene Synthase Expression Enhances Sesquiterpene Emission in Nicotiana attenuata without Altering Defense or Development of Transgenic Plants or Neighbors  ,"Sesquiterpenoids, with approximately 5,000 structures, are the most diverse class of plant volatiles with manifold hypothesized functions in defense, stress tolerance, and signaling between and within plants. These hypotheses have often been tested by transforming plants with sesquiterpene synthases expressed behind the constitutively active 35S promoter, which may have physiological costs measured as inhibited growth and reduced reproduction or may require augmentation of substrate pools to achieve enhanced emission, complicating the interpretation of data from affected transgenic lines. Here, we expressed maize (Zea mays) terpene synthase10 (ZmTPS10), which produces (E)-a-bergamotene and (E)-ß-farnesene, or a point mutant ZmTPS10M, which produces primarily (E)-ß-farnesene, under control of the 35S promoter in the ecological model plant Nicotiana attenuata. Transgenic N. attenuata plants had specifically enhanced emission of target sesquiterpene(s) with no changes detected in their emission of any other volatiles. Treatment with herbivore or jasmonate elicitors induces emission of (E)-a-bergamotene in wild-type plants and also tended to increase emission of (E)-a-bergamotene and (E)-ß-farnesene in transgenics. However, transgenics did not differ from the wild type in defense signaling or chemistry and did not alter defense chemistry in neighboring wild-type plants. These data are inconsistent with within-plant and between-plant signaling functions of (E)-ß-farnesene and (E)-a-bergamotene in N. attenuata. Ectopic sesquiterpene emission was apparently not costly for transgenics, which were similar to wild-type plants in their growth and reproduction, even when forced to compete for common resources. These transgenics would be well suited for field experiments to investigate indirect ecological effects of sesquiterpenes for a wild plant in its native habitat."
Elevation of night-time temperature increases terpenoid emissions from Betula pendula and Populus tremula,"Volatile organic compounds (VOCs) are expected to have an important role in plant adaptation to high temperatures. The impacts of increasing night-time temperature on daytime terpenoid emissions and related gene expression in silver birch (Betula pendula) and European aspen (Populus tremula) clones were studied. The plants were grown under five different night-time temperatures (6, 10, 14, 18, and 22?°C) while daytime temperature was kept at a constant 22?°C. VOC emissions were collected during the daytime and analysed by gas chromatography–mass spectrometry (GC-MS). In birch, emissions per leaf area of the C11 homoterpene 4,8-dimethy1-nona-1,3,7-triene (DMNT) and several sesquiterpenes were consistently increased with increasing night-time temperature. Total sesquiterpene (SQT) emissions showed an increase at higher temperatures. In aspen, emissions of DMNT and ß-ocimene increased from 6?°C to 14?°C, while several other monoterpenes and the SQTs (Z,E)-a-farnesene and (E,E)-a-farnesene increased up to 18?°C. Total monoterpene and sesquiterpene emission peaked at 18?°C, whereas isoprene emissions decreased at 22?°C. Leaf area increased across the temperature range of 6–22?°C by 32% in birch and by 59% in aspen. Specific leaf area (SLA) was also increased in both species. The genetic regulation of VOC emissions seems to be very complex, as indicated by several inverse relationships between emission profiles and expression of several regulatory genes (DXR, DXS, and IPP). The study indicates that increasing night temperature may strongly affect the quantity and quality of daytime VOC emissions of northern deciduous trees."
ERG9 and COQ1 disruption reveals isoprenoids biosynthesis is closely related to mitochondrial function in Saccharomyces cerevisiae,"Understanding in vivo regulation of isoprenoid biosynthesis is important for identifying strategies to improve carbon fluxes to desirable endproducts. To study the relevance of gene functions, substrate availability, metabolic flux, and the energetics of resource utilization for isoprenoids biosynthesis, Saccharomyces cerevisiae was co-engineered with endogenous deregulated erg9 and/or coq1 and exogenous plant genes that will lead to sesqui- and diterpene production. The flow of substrates through the MVA pathway statistically showed isoprenoids precursor levels were tightly regulated by erg9 and coq1 genes in S. cerevisiae. Physiological analysis by fluorescent probes and labeling techniques revealed elimination of the competing and/or degrading pathways by gene knockout can increase cellular stresses and change the energy metabolism. To further evaluate the role of erg9 and coq1 in the regulation of isoprenoids synthesis, heterologous terpene synthases from plants were introduced into S. cerevisiae, including the wild-type and mutant strains along with feeding of various metal cofactors under anoxic/oxic conditions. The product distribution in the strains indicated that the energy barrier could be the reason that different metal ion-assisted electrophilic attacks initiated carbocation formation, carbocation stabilization, and rearrangement, incorporating exquisite regio- and stereospecificity, to generate structurally diverse products. The yeast altered in the profile of terpenoids and their precursor pools aided the mechanisms of terpenoid biosynthesis and its regulation, highlighting the need for mitochondrial function when engineering metabolic flux using assumptions based on a comprehensive network of the mitochondrial system."
Formation of the Unusual Semivolatile Diterpene Rhizathalene by the Arabidopsis Class I Terpene Synthase TPS08 in the Root Stele Is Involved in Defense against Belowground Herbivory,"Secondary metabolites are major constituents of plant defense against herbivore attack. Relatively little is known about the cell type–specific formation and antiherbivore activities of secondary compounds in roots despite the substantial impact of root herbivory on plant performance and fitness. Here, we describe the constitutive formation of semivolatile diterpenes called rhizathalenes by the class I terpene synthase (TPS) 08 in roots of Arabidopsis thaliana. The primary enzymatic product of TPS08, rhizathalene A, which is produced from the substrate all-trans geranylgeranyl diphosphate, represents a so far unidentified class of tricyclic diterpene carbon skeletons with an unusual tricyclic spiro-hydrindane structure. Protein targeting and administration of stable isotope precursors indicate that rhizathalenes are biosynthesized in root leucoplasts. TPS08 expression is largely localized to the root stele, suggesting a centric and gradual release of its diterpene products into the peripheral root cell layers. We demonstrate that roots of Arabidopsis tps08 mutant plants, grown aeroponically and in potting substrate, are more susceptible to herbivory by the opportunistic root herbivore fungus gnat (Bradysia spp) and suffer substantial removal of peripheral tissue at larval feeding sites. Our work provides evidence for the in vivo role of semivolatile diterpene metabolites as local antifeedants in belowground direct defense against root-feeding insects."
Functional Analysis of the Final Steps of the 1-Deoxy-d-xylulose 5-phosphate (DXP) Pathway to Isoprenoids in Plants Using Virus-Induced Gene Silencing,"Isoprenoid biosynthesis in plant plastids occurs via the 1-deoxy-D-xylulose 5-phosphate (DXP) pathway. We used tobacco rattle virus (TRV) to posttranscriptionally silence the expression of the last two enzymes of this pathway, the IspG-encoded (E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase (HDS) and the IspH-encoded isopentenyl/dimethylallyl diphosphate synthase (IDDS), as well as isopentenyl/dimethylallyl diphosphate isomerase (IDI), the enzyme that interconverts IPP and DMAPP. TRV-IspG and TRV-IspH infected Nicotiana benthamiana plants had albino leaves that contained less than 4% of the chlorophyll and carotenoid pigments of control leaves. We applied [13C]DXP and [14C]DXP to silenced leaves and found that 2-C-methyl-D-erythritol 2,4-cyclodiphosphate accumulated in plants blocked at HDS while DXP, (E)-4-hydroxy-3-methylbut-2-enyl phosphate and (E)-2-methylbut-2-ene-1,4-diol accumulated in IDDS-blocked plants. Albino leaves from IspG- and IspH-silenced plants displayed a disorganized palisade mesophyll, reduced cuticle, fewer plastids, and disrupted thylakoid membranes. These findings demonstrate the participation of HDS and IDDS in the DXP pathway in plants, and support the view that plastid isoprenoid biosynthesis is metabolically and physically segregated from the mevalonate pathway. IDI-silenced plants had mottled white-pale green leaves with disrupted tissue and plastid structure, and showed an 80% reduction in pigments compared to controls. IPP pyrophosphatase activity was higher in chloroplasts isolated from IDI-silenced plants than in control plant chloroplasts. We suggest that a low level of isoprenoid biosynthesis via the DXP pathway can occur without IDI but that this enzyme is required for full function of the DXP pathway."
Functional Characterization of Terpene Synthases Accounting for the Volatilized-Terpene Heterogeneity in Lathyrus odoratus Cultivar Flowers,"Lathyrus odoratus (sweet pea) is an ornamental plant with exceptional floral scent, previously used as an experimental organism in the early development of Mendelian genetics. However, its terpene synthases (TPSs), which act as metabolic gatekeepers in the biosynthesis of volatile terpenoids, remain to be characterized. Auto-Headspace Solid-phase Microextraction/Gas chromatography–mass spectrometry analysis of floral volatile terpene constituents from seven sweet pea cultivars identified a-bergamotene, linalool, (-)-a-cubebene, geraniol, ß-caryophyllene and ß-sesquiphellandrene as the dominant compounds. RNA sequencing was performed to profile the transcriptome of L. odoratus flowers. Bioinformatic analysis identified eight TPS genes (acronymed as LoTPS) that were successfully cloned, heterologously expressed and functionally analyzed. LoTPS4 and LoTPS7, belonging to the TPS-b clade, biochemically catalyzed the formation of monoterpenes and sesquiterpenes. LoTPS3 and LoTPS8, placed in the TPS-a clade, also generated monoterpenes and sesquiterpenes, while LoTPS12 belonging to the TPS-g clade showed linalool/nerolidol synthase activity. Notably, biochemical assays of the recombinant LoTPS proteins revealed their catalytic promiscuity, and the enzymatic products were basically consistent with major volatile compounds released from sweet pea flowers. The data from our study lay the foundation for the chemical ecology, molecular genetics and biotechnological improvement of sweet pea and other legumes (Fabaceae)."
